hours,score
0.8,1.0
0.9,9.9
1.6,3.7
1.3,3.6
1.4,9.4
1.6,3.9
1.7,9.1
1.8,7.8
1.5,9.3
1.4,7.6
1.5,9.4
2.2,7.6
2.0,9.2
2.3,10.1
2.4,11.1
2.0,8.7
2.3,13.1
2.6,10.2
2.7,11.4
2.9,12.0
3.0,13.3
2.7,9.3
2.9,12.5
2.8,11.4
3.3,11.0
3.3,13.7
3.4,16.7
3.5,14.1
3.6,19.1
3.7,17.5
3.7,10.8
3.8,16.6
4.1,21.6
3.9,14.5
4.1,21.7
4.2,12.9
4.1,14.7
3.8,21.5
4.3,22.8
4.7,26.2
4.5,23.1
4.9,20.3
4.8,29.5
4.5,20.0
4.8,23.5
5.1,26.4
5.5,29.7
5.5,31.6
5.0,25.3
5.8,23.7
5.5,24.9
5.8,22.6
5.6,27.1
6.0,27.6
5.9,25.0
5.7,32.1
6.1,33.5
5.8,19.7
6.5,34.4
6.4,32.4
6.6,30.1
6.6,34.8
6.6,34.1
6.4,27.4
6.8,35.4
6.9,33.7
7.0,31.4
7.1,37.8
7.0,36.2
6.9,31.8
7.2,33.8
7.6,35.3
7.4,34.1
7.5,34.4
7.6,37.2
7.8,41.5
7.9,38.0
8.2,44.5
8.4,37.1
8.1,38.0
8.1,40.7
8.4,39.2
8.6,42.7
8.8,37.2
8.6,38.8
8.5,39.6
8.9,46.1
9.0,42.9
8.9,47.9
8.7,33.1
9.4,46.1
9.3,46.3
9.4,49.2
9.3,53.6
9.5,47.8
9.8,46.4
9.8,44.6
9.8,51.0
9.9,48.5
10.1,49.0
